Date,Price,Open,High,Low,Vol,Change%
04-01-2010,109.8000031,109.8199997,110.1399994,109.3099976,16224100,
05-01-2010,109.6999969,109.8799973,110.3899994,109.2600021,14213100,-0.09
06-01-2010,111.5100021,110.7099991,111.7699966,110.4100037,24981900,1.65
07-01-2010,110.8199997,111.0699997,111.2900009,110.6200027,13609800,-0.62
08-01-2010,111.3700027,111.5199966,111.5800018,110.2600021,15894600,0.5
11-01-2010,112.8499985,113.3399963,113.5899963,112.5199966,17253000,1.33
12-01-2010,110.4899979,112.3799973,113.0500031,110.1399994,29182600,-2.09
13-01-2010,111.5400009,110.9199982,111.5699997,109.5699997,20014000,0.95
14-01-2010,112.0299988,111.5100021,112.3700027,110.7900009,18305300,0.44
15-01-2010,110.8600006,111.3499985,112.0100021,110.3799973,18002700,-1.04
19-01-2010,111.5199966,110.9499969,111.75,110.8300018,10468200,0.6
20-01-2010,108.9400024,109.9700012,110.0500031,108.4599991,17535000,-2.31
21-01-2010,107.3700027,108.4800034,108.7799988,106.6100006,25748400,-1.44
22-01-2010,107.1699982,106.9300003,107.6800003,106.0100021,24210100,-0.19
25-01-2010,107.4800034,107.4400024,107.7200012,107.0699997,13200500,0.29
26-01-2010,107.5599976,106.8700027,107.9899979,106.75,12297100,0.07
27-01-2010,106.5299988,107.5299988,108.8000031,106.1600037,19005100,-0.96
28-01-2010,106.4800034,107.1800003,107.2300034,105.1800003,16793900,-0.05
29-01-2010,105.9599991,105.8799973,106.3000031,105.2699966,20278800,-0.49
01-02-2010,108.3499985,106.6399994,108.4800034,106.3700027,14901900,2.26
02-02-2010,109.1299973,109.1600037,109.5999985,108.6100006,14292200,0.72
03-02-2010,108.6999969,109.0999985,109.5400009,108.4300003,13393200,-0.39
04-02-2010,104.3700027,106.7900009,106.8000031,103.75,39991900,-3.98
05-02-2010,104.6800003,103.7600021,104.6800003,102.2799988,32656700,0.3
08-02-2010,104.0400009,104.4100037,105.1399994,104,17176600,-0.61
09-02-2010,105.4100037,105.1800003,106.1500015,104.8700027,25959200,1.32
10-02-2010,105.1200027,105.1299973,105.5,104.1100006,16215200,-0.28
11-02-2010,107.1299973,105.5800018,107.5599976,105.2699966,19350100,1.91
12-02-2010,107.0400009,106.0800018,107.0999985,105.5699997,14464200,-0.08
16-02-2010,109.6200027,109.4499969,109.8700027,109.0999985,20895700,2.41
17-02-2010,109.25,109.6600037,110.0100021,108.8700027,19593400,-0.34
18-02-2010,109.9800034,109.6100006,110.1100006,109.1900024,19177400,0.67
19-02-2010,109.4700012,109.3199997,110.3899994,108.8099976,21928700,-0.46
22-02-2010,109.0699997,109.8600006,109.9700012,108.6600037,10742800,-0.37
23-02-2010,107.8899994,108.8399963,108.9100037,107.6500015,13629600,-1.08
24-02-2010,107.3600006,107.3300018,108.1600037,107.0999985,17207400,-0.49
25-02-2010,108.3099976,106.6999969,108.6999969,106.5999985,23400400,0.88
26-02-2010,109.4300003,108.8899994,109.5999985,108.4100037,13033900,1.03
01-03-2010,109.4300003,109.4800034,109.9000015,108.9700012,12830900,0
02-03-2010,111.0199966,109.8600006,111.4499969,109.8600006,20102200,1.45
03-03-2010,111.6299973,111.4599991,112.1800003,111.1800003,16222100,0.55
04-03-2010,110.8300018,111.25,111.3700027,110.2200012,12944800,-0.72
05-03-2010,110.8099976,111.1299973,111.75,110.8000031,11091400,-0.02
08-03-2010,109.8799973,111.2200012,111.3000031,109.5199966,12753800,-0.84
09-03-2010,109.7200012,109.1600037,110.1600037,109.0400009,12650800,-0.15
10-03-2010,108.4700012,109.9400024,110.5,108.0199966,21982100,-1.14
11-03-2010,108.5999985,108.2799988,108.6500015,107.8600006,9513300,0.12
12-03-2010,107.9499969,108.5599976,108.7699966,107.4499969,11849000,-0.6
15-03-2010,108.3600006,108.1600037,108.5599976,107.8199997,7698600,0.38
16-03-2010,110.4000015,110.0199966,110.5699997,109.6999969,17749300,1.88
17-03-2010,109.5899963,110.1800003,110.4599991,109.5500031,13784300,-0.73
18-03-2010,110.3399963,110.0999985,110.6100006,109.5,13848400,0.68
19-03-2010,108.2799988,108.2799988,110.2900009,107.8499985,24329100,-1.87
22-03-2010,107.75,107.3099976,108,106.9499969,11579400,-0.49
23-03-2010,108.3199997,107.5,108.5,107.3399963,11274400,0.53
24-03-2010,106.3000031,106.9400024,107.0699997,106.2399979,14236700,-1.86
25-03-2010,106.7799988,107,107.25,106.4800034,16866700,0.45
26-03-2010,108.5899963,107.1600037,108.6999969,106.8199997,17433600,1.7
29-03-2010,108.75,108.8700027,109.1699982,108.4000015,11527000,0.15
30-03-2010,107.9700012,108.5699997,108.6600037,107.8700027,9817700,-0.72
31-03-2010,108.9499969,109.4400024,109.5,108.8499985,14006800,0.91
01-04-2010,110.2600021,109.9700012,110.4700012,109.9199982,11370500,1.2
05-04-2010,110.8899994,110.5599976,110.9800034,110.2699966,8207900,0.57
06-04-2010,111.0299988,110.8899994,111.5100021,110.8300018,10322300,0.13
07-04-2010,112.4899979,111.8499985,112.9300003,111.7699966,19139500,1.31
08-04-2010,112.6500015,112.4700012,112.9800034,112.1299973,12445400,0.14
09-04-2010,113.6399994,113.0899963,114.0699997,112.7399979,16427800,0.88
12-04-2010,113.0100021,113.6399994,114.1299973,112.9800034,11118900,-0.55
13-04-2010,112.6900024,113.1200027,113.1600037,112.0599976,11261100,-0.28
14-04-2010,113.0299988,113.2300034,113.6600037,112.7799988,10572100,0.3
15-04-2010,113.6500015,112.9000015,113.7099991,112.8499985,10952100,0.55
16-04-2010,111.2399979,112.5,113.0699997,110.5400009,24572600,-2.12
19-04-2010,111.1500015,110.8799973,111.3600006,110.6699982,7993700,-0.08
20-04-2010,111.4599991,111.7300034,112.2099991,111.3300018,7019800,0.28
21-04-2010,112.3099976,111.8199997,112.6399994,111.4800034,6842900,0.76
22-04-2010,111.8399963,111.7900009,112.0100021,110.7600021,9598900,-0.42
23-04-2010,113.1900024,111.2600021,113.3000031,111.0899963,12505800,1.21
26-04-2010,112.75,112.8799973,113.1999969,112.6299973,8335400,-0.39
27-04-2010,114.6299973,112.4300003,114.8199997,112.3399963,25057100,1.67
